Variable,Benevolencia,Universalismo,Poder,Logro,APS1,APS2,APS3,APS4,APS5,APS6,APS7,APS9,APS10,APS14,APS11,APS12,APS13,APS15,APS16,APS18,APS19,APS20,APS21,PP1,PP2,PP3
Benevolencia,1,0.07278481210163375,0.09095579925666517,0.13749645681936468,0.06400045952849488,-0.00431147353728719,0.07322684010642012,-0.012365532784020375,0.018803342102689018,0.041585834461127104,0.0021234512251229144,0.10130111432792256,0.04485885809991372,0.08689727620185515,0.04181908390229613,0.01059046165683169,-0.017730020016012267,0.16407701855016826,0.11777184159177218,0.055402831497948765,0.07349668511907761,0.023446653747979905,0.07431203488269675,0.21757404606915598,0.1252973893934588,0.3749841048351735
Universalismo,0.07278481210163375,1,-0.09286210595255613,0.034131484692902676,0.1572186240646296,0.2798171206754912,0.25825615978925787,0.44883028218742377,0.3953902173268012,0.4583166566268838,0.3358194898094268,0.4063323268077479,0.3782346807195222,0.4374184592709255,0.24571988284395058,0.33740858975663773,0.22921313776535965,0.28953810238872774,0.3431731865249475,0.3432446767019232,0.30412714157945064,0.2818721986837881,0.2655513174958622,0.3114866733781488,0.32423332163087015,0.22345205604885968
Poder,0.09095579925666517,-0.09286210595255613,1,0.4371045492039385,-0.11346445406216657,-0.09990843043527302,-0.02241099424595844,-0.08190137854891047,-0.05198972765414384,-0.10938141614426657,-0.04748797377872129,0.041531294140972286,-0.012407057562053634,-0.10181137485314994,-0.06387083486484724,-0.11782545082956725,-0.07075857668657964,-0.10319717550628318,-0.11638048669027384,-0.15324562063859365,-0.11769474235377637,-0.11958774486387411,-0.018061604307056937,0.07265501340340004,-0.03423873578827932,0.006168317306963003
Logro,0.13749645681936468,0.034131484692902676,0.4371045492039385,1,0.014067458048579859,-0.004787339160755367,-0.01365822454979389,-0.013089413156598362,-0.11185003121241506,0.0514375132668082,0.02871448081170093,0.013112392971817186,-0.07205448254386031,-0.16023445093754712,-0.08421997109768554,-0.030476387699918773,0.04306782768716769,0.022719698093348298,-0.08201755901846904,-0.1369400862687762,-0.0663307189227198,-0.07995142077716494,-0.007955859710289028,-0.02365036470738086,-0.09375414826383552,0.01565090166865182
APS1,0.06400045952849488,0.1572186240646296,-0.11346445406216657,0.014067458048579859,1,0.44200318078279255,0.2820036027002706,0.3350317902133567,0.2577224366266408,0.42068529673304744,0.3993452844314314,0.2901365739950808,0.3706865838484824,0.33916711303034336,0.2442564293514624,0.26156014162199287,0.4295732606176618,0.2778804856095955,0.32868329120018125,0.3858344344399233,0.3060559662110869,0.37664735169576424,0.27345305009512805,0.21566554640687682,0.18687473555270911,0.16173987456107922
APS2,-0.00431147353728719,0.2798171206754912,-0.09990843043527302,-0.004787339160755367,0.44200318078279255,1,0.2623248396325844,0.47347214415472483,0.38372482945793474,0.4801500451305473,0.4746353829460626,0.3572018867229483,0.46463702100913884,0.4855106712614861,0.31126949802543646,0.4780039986360955,0.5761661026651779,0.3201971047577399,0.38510032620216994,0.5519469495955801,0.3693328290360503,0.42542099045251125,0.3302661919704512,0.1602737468902829,0.11742738660210651,0.13183004738781126
APS3,0.07322684010642012,0.25825615978925787,-0.02241099424595844,-0.01365822454979389,0.2820036027002706,0.2623248396325844,1,0.3340020610204337,0.4143488697113779,0.5186013214519926,0.4633175289145429,0.490348889994738,0.4988337965406359,0.40623351878639563,0.3311329446097919,0.37654111628261244,0.3549525978292967,0.4556931098644443,0.34185853446688697,0.33521322036287066,0.3608389602188942,0.17227582133998837,0.19515879997131605,0.1946280589327269,0.3219768875379108,0.18328353025455912
APS4,-0.012365532784020375,0.44883028218742377,-0.08190137854891047,-0.013089413156598362,0.3350317902133567,0.47347214415472483,0.3340020610204337,1,0.4931056283118042,0.5234537259488223,0.475294104946723,0.4660650932001847,0.5029093995422772,0.6546018740422944,0.41038549032341215,0.48614590198997804,0.5471702029113888,0.2652024550742325,0.4333741439356841,0.3874866495170181,0.3368855095003247,0.4103305188864019,0.3773171374260611,0.3354687797501751,0.36075820187163943,0.36350866996555986
APS5,0.018803342102689018,0.3953902173268012,-0.05198972765414384,-0.11185003121241506,0.2577224366266408,0.38372482945793474,0.4143488697113779,0.4931056283118042,1,0.37014304362850653,0.39989281016914136,0.7542606772244254,0.6688926889646072,0.6606124362598631,0.2941329385182015,0.3042835854789808,0.26531179053541365,0.34777609450413743,0.3903896160611428,0.26278760319906175,0.26328149959444247,0.2735273547388878,0.1782933713713427,0.18210602969445458,0.29459196320791653,0.2873070779005643
APS6,0.041585834461127104,0.4583166566268838,-0.10938141614426657,0.0514375132668082,0.42068529673304744,0.4801500451305473,0.5186013214519926,0.5234537259488223,0.37014304362850653,1,0.65377408221145,0.39843481011520526,0.5342890360109087,0.4283275746156695,0.36595318618919087,0.49230733857769254,0.5261152286417182,0.4448367483392536,0.469636901961674,0.4426744647093149,0.4569296607709161,0.34455253228866967,0.28263220345005324,0.1906454279136613,0.27418904441942316,0.1686911221021882
APS7,0.0021234512251229144,0.3358194898094268,-0.04748797377872129,0.02871448081170093,0.3993452844314314,0.4746353829460626,0.4633175289145429,0.475294104946723,0.39989281016914136,0.65377408221145,1,0.46985403004019466,0.479225306191847,0.45889914658124414,0.4091080869924467,0.4028543392195497,0.5403175261233618,0.4364695287854318,0.37592236662864764,0.40595898376904493,0.35133925025422097,0.37720367819914713,0.2306683151230495,0.18762950561738473,0.2928758808211305,0.23705621182670703
APS9,0.10130111432792256,0.4063323268077479,0.041531294140972286,0.013112392971817186,0.2901365739950808,0.3572018867229483,0.490348889994738,0.4660650932001847,0.7542606772244254,0.39843481011520526,0.46985403004019466,1,0.738040367027165,0.6157070064669719,0.2698628626801574,0.30623972303960856,0.30659433429230054,0.3785543922759053,0.4032939409610201,0.31164036957599733,0.324659558699245,0.3205240663573936,0.1957314812846859,0.2405348744144178,0.36924087361694485,0.3391156376620799
APS10,0.04485885809991372,0.3782346807195222,-0.012407057562053634,-0.07205448254386031,0.3706865838484824,0.46463702100913884,0.4988337965406359,0.5029093995422772,0.6688926889646072,0.5342890360109087,0.479225306191847,0.738040367027165,1,0.6650710489123062,0.281101164779551,0.41907242366757497,0.39477145744932224,0.36445376548502356,0.44013322220376017,0.37798569210643507,0.2551815473343808,0.40216027748026667,0.17318902613225717,0.2864816145858618,0.2729357299478847,0.2590599833268885
APS14,0.08689727620185515,0.4374184592709255,-0.10181137485314994,-0.16023445093754712,0.33916711303034336,0.4855106712614861,0.40623351878639563,0.6546018740422944,0.6606124362598631,0.4283275746156695,0.45889914658124414,0.6157070064669719,0.6650710489123062,1,0.4760885432636547,0.4511603732576812,0.446660588124668,0.3801968144357894,0.5307503217523645,0.49540075387929194,0.37613644255005085,0.509023046615466,0.3069044935237649,0.4609338397142869,0.44194022983069653,0.47767782944848636
APS11,0.04181908390229613,0.24571988284395058,-0.06387083486484724,-0.08421997109768554,0.2442564293514624,0.31126949802543646,0.3311329446097919,0.41038549032341215,0.2941329385182015,0.36595318618919087,0.4091080869924467,0.2698628626801574,0.281101164779551,0.4760885432636547,1,0.3770706412579189,0.37749319220828775,0.3037052196118167,0.29025591638067944,0.5454900921158989,0.35836428984099905,0.5263753535300437,0.3661846968088548,0.38799790549693053,0.4442532020061146,0.2433111504477709
APS12,0.01059046165683169,0.33740858975663773,-0.11782545082956725,-0.030476387699918773,0.26156014162199287,0.4780039986360955,0.37654111628261244,0.48614590198997804,0.3042835854789808,0.49230733857769254,0.4028543392195497,0.30623972303960856,0.41907242366757497,0.4511603732576812,0.3770706412579189,1,0.4925580807063997,0.48873586163562044,0.48240886478222816,0.36542432008308057,0.30888734520583755,0.42803045503026776,0.42732243040779533,0.2364719608466919,0.21623171056841647,0.2241713324478807
