Variable,Benevolencia,Universalismo,Poder,Logro,APS1,APS2,APS3,APS4,APS5,APS6,APS7,APS9,APS10,APS14,APS11,APS12,APS13,APS15,APS16,APS18,APS19,APS20,APS21,PP1,PP2,PP3
Benevolencia,1,0.186649706229898,-0.027302899379644422,-0.00807756453745158,0.14068210902900927,0.12057242151564199,0.0508583604282447,0.18665206888089872,0.18041046175652278,0.18532483693910323,0.09340440859221137,0.17121753624828098,0.1669187138289784,0.10643884491025982,0.19219178208562887,0.19200599234007432,0.08219854558224388,0.05641453367821076,0.181562454103102,0.15428987232103242,0.2155139284597278,0.09781258459414367,0.20627045785630588,0.09145372384022969,0.12044314347422244,0.21191894864451796
Universalismo,0.186649706229898,1,-0.01874911562291313,0.17690035758618952,0.18538665834472065,0.23866010091024412,0.18871496878337943,0.24155596062702295,0.22439124919240253,0.21484343039202955,0.21526566087744775,0.21400238365987745,0.2640100244746859,0.33819839555571735,0.19608102690948523,0.2920368892755979,0.11192494299415415,0.1748717433318327,0.2223386640049706,0.2541632928254812,0.2377921143595089,0.18204941518479179,0.20421926016540579,0.1493756638872838,0.16910164831568608,0.06486090620327686
Poder,-0.027302899379644422,-0.01874911562291313,1,0.4988485735331878,-0.07320048921131551,-0.011888036451202533,-0.0893466285723554,0.027773126010359774,0.0026523631405832985,-0.2015457637832085,-0.08664308878718067,-0.074849799886718,-0.04878493643182017,-0.03517882120574044,-0.20327140798053459,-0.12155093956078991,-0.007666842279018817,0.023974833136319467,-0.18501831376939137,-0.09482857773681953,-0.041199581910082536,-0.1779465328060445,-0.11693912937347126,-0.0028907538965067757,-0.016384893893803636,-0.03951650880270288
Logro,-0.00807756453745158,0.17690035758618952,0.4988485735331878,1,0.01302742825119995,0.14987677916871234,0.08287474877647344,0.07519304199387623,0.018396657368221186,-0.04212015251947513,-0.052009878410958554,-0.039857501677829706,-0.010869011733442633,0.05873906953519514,-0.0988924243994658,-0.11490580396624174,0.032111613839277894,0.04226447729526933,-0.10332348797132844,0.05291918743714819,0.034110270741242524,0.0466785062896872,-0.076110471161937,0.04140786408819339,-0.025951041315351926,-0.013494541483983
APS1,0.14068210902900927,0.18538665834472065,-0.07320048921131551,0.01302742825119995,1,0.43260589077880235,0.3701463046915296,0.412787867627724,0.3465371092014632,0.3282837513214878,0.2600737692978159,0.3876326106640319,0.4580523146453352,0.47162336030158136,0.32825322228002635,0.3699785521170142,0.4626278638982185,0.33026613729817333,0.3667486663854369,0.2926137764801747,0.30256970600907185,0.2871979160280427,0.2675069669028489,0.38678419313495865,0.2351608828438794,0.2351608828438794
APS2,0.12057242151564199,0.23866010091024412,-0.011888036451202533,0.14987677916871234,0.43260589077880235,1,0.3736685766515651,0.4640071989394931,0.33353347585282744,0.24716636667607975,0.30924130161228963,0.4026635018289462,0.4441790729299181,0.38878979667974767,0.22027028301393528,0.33498062172228,0.40525156691846626,0.36545491876590824,0.29065365240475655,0.36757896579384913,0.2807964437997996,0.16130211957580848,0.268677274755663,0.23368564705996936,0.3009377621082789,0.14428522840807892
APS3,0.0508583604282447,0.18871496878337943,-0.0893466285723554,0.08287474877647344,0.3701463046915296,0.3736685766515651,1,0.33122602180858196,0.29547186365269645,0.41990432488983587,0.31240004928945453,0.27865909536086225,0.2855342161791819,0.33503317323615284,0.3269252961128379,0.2816283907825671,0.28035311894348797,0.28744520703359794,0.31524102466063714,0.24561410109225065,0.26900416342530786,0.2831259137750503,0.16374052146580498,0.2214712945348457,0.18758833348714823,0.12619578798226333
APS4,0.18665206888089872,0.24155596062702295,0.027773126010359774,0.07519304199387623,0.412787867627724,0.4640071989394931,0.33122602180858196,1,0.503236706011691,0.5039958835994672,0.4263348547091708,0.6288382410576693,0.5973091327297929,0.6018231341216712,0.3050100725804235,0.37749996753492393,0.44771963885217314,0.3863212460184737,0.39532058927877545,0.3580548024827182,0.2812965965470098,0.2245118066429548,0.4366307171818146,0.22124791321520573,0.2596095753207891,0.22161793015189313
APS5,0.18041046175652278,0.22439124919240253,0.0026523631405832985,0.018396657368221186,0.3465371092014632,0.33353347585282744,0.29547186365269645,0.503236706011691,1,0.4541560778950973,0.3638272413301959,0.5523428343608462,0.5055241149376839,0.4000301912291315,0.2544076443593263,0.34271264710609706,0.3418122023601708,0.37655920118627156,0.3229445675611799,0.18256829896595062,0.10711585698081567,0.0719553792137896,0.33055983800020566,0.2750958701703291,0.19263549448359657,0.16636701796310613
APS6,0.18532483693910323,0.21484343039202955,-0.2015457637832085,-0.04212015251947513,0.3282837513214878,0.24716636667607975,0.41990432488983587,0.5039958835994672,0.4541560778950973,1,0.5656502530990554,0.4400834758263041,0.4760262700755889,0.44759219796094374,0.4433901747845052,0.3353819170895683,0.3375903087018148,0.23208603568024258,0.45107209407244103,0.2868883841573853,0.2735355711911738,0.29023664445092334,0.39046434297160265,0.384957622777678,0.23398962256481268,0.36818955315345525
