Variable,Benevolencia,Universalismo,Poder,Logro,APS1,APS2,APS3,APS4,APS5,APS6,APS7,APS9,APS10,APS14,APS11,APS12,APS13,APS15,APS16,APS18,APS19,APS20,APS21,PP1,PP2,PP3
Benevolencia,1,0.44895668181618414,0.07709789128480128,0.11882286704757133,0.12930804687080633,0.16388143432707972,0.14644186165070508,0.14822166095754016,0.13937359729974472,0.1759364205302875,0.10765023501835856,0.08571874646670018,0.10600203263208023,0.19482964417594964,0.18241777345127827,0.22580791444835555,0.18810273531700267,0.15255697479729158,0.2846546102178328,0.2479431130778034,0.14550319469038425,0.15554383732863272,0.12773204679977881,0.20889320006403006,0.15409544375205175,0.2642101273257398
Universalismo,0.44895668181618414,1,0.02674761619884668,0.1906871798888683,0.18340752246077527,0.23262454034060018,0.15520413720247153,0.24121522221865038,0.3187614682298725,0.20851029006070634,0.2341206358131911,0.30471759298623124,0.2066276967535346,0.37059606672596335,0.2777258056478478,0.40039296784669554,0.368222336347002,0.17225291388933311,0.38674286475497055,0.39022096574934784,0.2182236566757346,0.2277947641730778,0.29062636742176834,0.3073193056317076,0.2860135884411385,0.33536474090019863
Poder,0.07709789128480128,0.02674761619884668,1,0.40692810899561116,-0.05257581263234793,0.005897360201275472,-0.13220665201407983,0.0025868617309878664,8.670776659154577e-4,0.002950089230655086,-0.062272322942075437,-0.02416202325176656,-0.010078963918255244,0.03165089722015535,0.0018705131515330147,-0.03973919975156252,0.04538499244474456,0.010609753899915265,-0.03739987162772395,0.013524596395536295,-0.048416756162351374,0.0367037648108964,-0.07813723662713075,-0.02453910009044929,-0.05739228737355768,0.050493806111038764
Logro,0.11882286704757133,0.1906871798888683,0.40692810899561116,1,0.12408844523981995,0.18997974358808925,0.028165172385042687,0.0967540306669236,0.14184215010883364,0.20208874693086487,0.11445930705502061,0.06555519803412731,0.12275818582128796,0.1453249859581947,0.19599759797097546,0.15815395825500925,0.2802366181779413,0.16563435252678643,0.20651527409032358,0.17383251042169853,0.08372024286380574,0.1021132383465056,0.015667331447148377,0.08487273414168171,0.21818457490492046,0.10176971031430906
APS1,0.12930804687080633,0.18340752246077527,-0.05257581263234793,0.12408844523981995,1,0.5596637204850604,0.43389030975693443,0.36275639153769856,0.4528613689020115,0.3690292041663275,0.377836819544644,0.4203128709916723,0.45873181024147935,0.377442347828641,0.2498406102870649,0.388542941615809,0.4312473319801339,0.2628119036240859,0.2982554066091449,0.29614816933401317,0.20254791162622549,0.16372561801870558,0.2283545064065471,0.3045637493011282,0.33674742142307024,0.25482652095013286
APS2,0.16388143432707972,0.23262454034060018,0.005897360201275472,0.18997974358808925,0.5596637204850604,1,0.47960022850298417,0.4569768176783387,0.5180867440180333,0.513342374043094,0.4744827838947664,0.5296456167719952,0.5684315208465277,0.4031456717624662,0.3507438495493418,0.44825177411113354,0.5408389989203414,0.336761259685421,0.37113687525834776,0.39223463310732204,0.27441919323900443,0.259003331380778,0.27571106394617634,0.28985186798069945,0.2556622800017082,0.25499546453889294
APS3,0.14644186165070508,0.15520413720247153,-0.13220665201407983,0.028165172385042687,0.43389030975693443,0.47960022850298417,1,0.3886213480697874,0.36432279524155453,0.5187143197113151,0.4937574205873492,0.4077180509961487,0.4175501643711333,0.262695558953916,0.21623091792436316,0.3883599136388457,0.3048415629351735,0.2555326779888347,0.2727998711190803,0.3231926382388461,0.21138886026859005,0.19593097839136547,0.238393743735424,0.21013062154960122,0.22756152583590256,0.18441682816508748
APS4,0.14822166095754016,0.24121522221865038,0.0025868617309878664,0.0967540306669236,0.36275639153769856,0.4569768176783387,0.3886213480697874,1,0.5965421836322208,0.43258318705085363,0.3636398584860034,0.6005223935731835,0.4785115765395771,0.4363968026229167,0.32993412268701916,0.4144523284459782,0.4460776033274489,0.16718080856412484,0.23167727931343227,0.2867847657832514,0.21594024843778403,0.19590120002449998,0.32340828389313697,0.2994085184776172,0.22057223928174644,0.29148457358379043
APS5,0.13937359729974472,0.3187614682298725,8.670776659154577e-4,0.14184215010883364,0.4528613689020115,0.5180867440180333,0.36432279524155453,0.5965421836322208,1,0.5135461084642352,0.41568164331867546,0.5595722265910131,0.6230864585574918,0.5919337624021604,0.38556201230610154,0.4696455539041721,0.5520034267270678,0.3297255487329767,0.3951447640858211,0.35599575424920155,0.24765064490144337,0.19258222451976398,0.2706860538057714,0.4018757900117774,0.3482376577244609,0.2852101000806324
APS6,0.1759364205302875,0.20851029006070634,0.002950089230655086,0.20208874693086487,0.3690292041663275,0.513342374043094,0.5187143197113151,0.43258318705085363,0.5135461084642352,1,0.5978749806457788,0.4801717245467988,0.5070995607905222,0.45871397668482955,0.2654860580662282,0.47605157916982455,0.43979512835594264,0.42087613268213114,0.5446371879136194,0.2721801870976918,0.3015395826715215,0.3795240346359149,0.3267499778571555,0.30479732570550216,0.30286224611450296,0.20655649376192906
