Variable,Benevolencia,Universalismo,Poder,Logro,APS1,APS2,APS3,APS4,APS5,APS6,APS7,APS9,APS10,APS14,APS11,APS12,APS13,APS15,APS16,APS18,APS19,APS20,APS21,PP1,PP2,PP3,CSR1_bin
Benevolencia,0.6584595959595959,0.07114413364413365,0.09042346542346542,0.13626651126651126,0.05167055167055167,-0.003545066045066045,0.0557012432012432,-0.008595571095571096,0.014471639471639472,0.033702408702408704,0.0016511266511266512,0.078768453768453775,0.03535353535353535,0.07566045066045066,0.03428515928515929,0.007915695415695416,-0.015248640248640248,0.12815656565656566,0.0997960372960373,0.05623543123543123,0.07114413364413365,0.022387334887334888,0.07172688422688422,0.17453379953379952,0.09581390831390832,0.2659285159285159,0.026903651903651904
Universalismo,0.07114413364413365,1.4510003885003886,-0.13704351204351203,0.050213675213675216,0.18842268842268842,0.34154040404040403,0.2916181041181041,0.46314102564102566,0.45172882672882675,0.5513791763791763,0.38762626262626265,0.469017094017094,0.4425019425019425,0.5653651903651904,0.2990481740481741,0.37436868686868685,0.29263791763791763,0.33571289821289824,0.43167249417249415,0.5171911421911422,0.4370143745143745,0.39952408702408704,0.380487567987568,0.3709207459207459,0.3680555555555556,0.23523698523698525,0.010392385392385392
Poder,0.09042346542346542,-0.13704351204351203,1.500971250971251,0.6540404040404041,-0.1383061383061383,-0.12402874902874902,-0.02573815073815074,-0.08595571095571096,-0.06041181041181041,-0.13383838383838384,-0.05574980574980575,0.04875679875679876,-0.014763014763014764,-0.13383838383838384,-0.07905982905982906,-0.13296425796425795,-0.09188034188034189,-0.1216977466977467,-0.1488927738927739,-0.23484848484848486,-0.172008547008547,-0.1723970473970474,-0.02632090132090132,0.087995337995338,-0.03952991452991453,0.006604506604506604,-0.015345765345765346
Logro,0.13626651126651126,0.050213675213675216,0.6540404040404041,1.4916472416472417,0.017094017094017096,-0.005924630924630925,-0.015637140637140636,-0.013694638694638694,-0.12956487956487955,0.06274281274281274,0.03360528360528361,0.015345765345765346,-0.08547008547008547,-0.20998445998446,-0.10392385392385392,-0.03428515928515929,0.05574980574980575,0.026709401709401708,-0.1046037296037296,-0.2092074592074592,-0.09663947163947163,-0.1148989898989899,-0.011557886557886558,-0.028554778554778556,-0.10790598290598291,0.016705516705516704,0.009518259518259518
APS1,0.05167055167055167,0.18842268842268842,-0.1383061383061383,0.017094017094017096,0.98989898989899,0.4456099456099456,0.263014763014763,0.28554778554778554,0.2432012432012432,0.41802641802641805,0.38073038073038074,0.2766122766122766,0.3581973581973582,0.3620823620823621,0.24553224553224554,0.2397047397047397,0.452991452991453,0.26612276612276614,0.3414918414918415,0.4801864801864802,0.36324786324786323,0.44094794094794093,0.3236208236208236,0.21212121212121213,0.1752136752136752,0.14063714063714064,0.0202020202020202
APS2,-0.003545066045066045,0.34154040404040403,-0.12402874902874902,-0.005924630924630925,0.4456099456099456,1.0267579642579643,0.24917443667443667,0.4109848484848485,0.3687839937839938,0.4859168609168609,0.46085858585858586,0.34683372183372185,0.45726495726495725,0.5278749028749029,0.31866744366744365,0.44614413364413363,0.6187839937839937,0.3123057498057498,0.40748834498834496,0.6995920745920746,0.44643550893550893,0.5072358197358198,0.39806721056721056,0.16054778554778554,0.11213092463092462,0.11674436674436675,0.015248640248640248
APS3,0.0557012432012432,0.2916181041181041,-0.02573815073815074,-0.015637140637140636,0.263014763014763,0.24917443667443667,0.8787393162393162,0.2682109557109557,0.3683954933954934,0.4855283605283605,0.41618104118104116,0.44046231546231546,0.4541569541569542,0.4086052836052836,0.3136169386169386,0.32512626262626265,0.35266122766122765,0.4111790986790987,0.33464452214452217,0.3930652680652681,0.403506216006216,0.1900252525252525,0.2176087801087801,0.18036130536130537,0.2844308469308469,0.15015540015540016,0.0202991452991453
APS4,-0.008595571095571096,0.46314102564102566,-0.08595571095571096,-0.013694638694638694,0.28554778554778554,0.4109848484848485,0.2682109557109557,0.7338286713286714,0.40064102564102566,0.44784382284382285,0.39015151515151514,0.38257575757575757,0.4184149184149184,0.6016899766899767,0.3551864801864802,0.3835955710955711,0.4967948717948718,0.2186771561771562,0.38767482517482516,0.4152097902097902,0.34425990675990675,0.4136072261072261,0.38446969696969696,0.2840909090909091,0.2912296037296037,0.27214452214452217,-2.913752913752913e-4
APS5,0.014471639471639472,0.45172882672882675,-0.06041181041181041,-0.12956487956487955,0.2432012432012432,0.3687839937839938,0.3683954933954934,0.40064102564102566,0.8995726495726496,0.35062160062160064,0.36344211344211347,0.6855089355089355,0.6161616161616161,0.6722999222999223,0.28185703185703187,0.26583139083139085,0.26670551670551673,0.3175019425019425,0.38665501165501165,0.3117715617715618,0.2978826728826729,0.3052641802641803,0.20114607614607616,0.17074592074592074,0.2633061383061383,0.23815073815073814,0.0013597513597513598
APS6,0.033702408702408704,0.5513791763791763,-0.13383838383838384,0.06274281274281274,0.41802641802641805,0.4859168609168609,0.4855283605283605,0.44784382284382285,0.35062160062160064,0.9974747474747475,0.6256798756798757,0.3813131313131313,0.5182595182595182,0.459013209013209,0.36926961926961926,0.4528943278943279,0.5569153069153069,0.4276418026418026,0.48980186480186483,0.553030303030303,0.5443861693861693,0.4049145299145299,0.33576146076146074,0.18822843822843824,0.25806138306138304,0.14724164724164723,0.004856254856254856
