Variable,Benevolencia,Universalismo,Poder,Logro,APS1,APS2,APS3,APS4,APS5,APS6,APS7,APS9,APS10,APS14,APS11,APS12,APS13,APS15,APS16,APS18,APS19,APS20,APS21,PP1,PP2,PP3,CSR1_bin
Benevolencia,0.5170794516397789,0.17408922214648187,0.12353253048549571,0.04434598197379384,0.022797848973718095,0.03680981595092025,0.06316746194046807,0.009164583806710596,0.0014390668787396803,0.008861622358554875,0.021055820646822692,0.0099219874270999,0.017344542906915096,0.02090433992274483,0.055252594107399834,0.1309550859653109,0.10887677043096267,0.07676285692645611,0.10270393092478983,0.0833143982428236,0.03317427857305158,0.07717942891767023,0.05457093084904946,0.15708551086874195,0.05335908505642657,0.11910171930621828,-0.05472241157312732
Universalismo,0.17408922214648187,0.8668484435355601,0.007081723850640006,0.29141104294478526,0.1748087555858517,0.14542149511474664,0.1468984321745058,0.10997500568052715,0.12220707414981444,0.21127773990759677,0.14155873665076119,0.09437249110050747,0.14640611982125273,0.12122244944330834,0.15685828978262517,0.2134363402257063,0.15837309702340377,0.26066045595697945,0.25096568961599636,0.2898962357040067,0.22525183670377943,0.17923956676512914,0.22892524426266758,0.30477921684465653,0.1650003787018102,0.21317124895857,-0.008520790729379687
Poder,0.12353253048549571,0.007081723850640006,1.498371582216163,0.6484132394152844,-0.03336362947814891,-0.01980610467318034,-0.06797697492994016,-0.14148299628872227,-0.08032265394228584,0.03169734151329243,-0.020601378474589108,-0.034310384003635536,-0.13216693175793381,-0.1593198515488904,-0.08607892145724456,-7.195334393698402e-4,-0.016776490191623115,-0.12262364614102855,-0.029122169203968797,-0.08755585851700372,-0.07744452018480648,-0.20874043777929258,-0.20722563053851398,0.02389608422328259,-0.00833143982428236,0.04116488676815875,0.0067787624024842836
Logro,0.04434598197379384,0.29141104294478526,0.6484132394152844,1.4669393319700068,0.12917518745739603,0.14118003484056654,0.04207377111262592,0.056767401348178446,0.017382413087934562,0.13595394985988032,0.09221389078239794,0.053245474513368175,0.048360221161857155,0.04230099219874271,-0.013406044080890706,0.05093539347118079,0.11872301749602363,0.18533666590926304,0.1310686965083693,0.10641520866469742,0.07290009846247066,0.1281526925698705,0.06445504809512989,0.2288116337196092,0.15897901991971522,0.04957206695448004,0.05847155949405438
APS1,0.022797848973718095,0.1748087555858517,-0.03336362947814891,0.12917518745739603,0.6921154283117473,0.2544118760887677,0.1315231386806029,0.1481860183291676,0.17473301522381277,0.21373930167386201,0.1693554495190487,0.1664015753995304,0.14985230629402407,0.1866999924259638,0.19518291297432402,0.1599636446262213,0.20336287207452852,0.1705294251306521,0.16015299553131865,0.2753162160115125,0.22623646141028553,0.21233810497614178,0.14977656593198516,0.1186472771339847,0.1774217980761948,0.18692721351208058,0.034234643641596604
APS2,0.03680981595092025,0.14542149511474664,-0.01980610467318034,0.14118003484056654,0.2544118760887677,0.47299856093312126,0.12368401120957358,0.07876997652048777,0.0804741346663637,0.12713019768234493,0.11735969097932288,0.09675831250473377,0.14341437552071498,0.1940089373627206,0.1532984927667954,0.1873437855032947,0.1984776187230175,0.19503143225024616,0.17378626069832614,0.28118609406952966,0.2076422025297281,0.13856699235022343,0.15871392865257897,0.11966977202151026,0.14845110959630387,0.12341891994243732,0.041392107854275544
APS3,0.06316746194046807,0.1468984321745058,-0.06797697492994016,0.04207377111262592,0.1315231386806029,0.12368401120957358,0.36893130349163067,0.1451564038476104,0.15905476028175414,0.17015072332045747,0.12709232750132546,0.13822616072104824,0.1061122472165417,0.16428084526244036,0.09289555404074831,0.1838597288495039,0.17507384685298796,0.11459516776490192,0.212110883890025,0.20063621904112702,0.1520109066121336,0.16356131182307052,0.13061425433613572,0.12686510641520868,0.0515791865485117,0.1895402560024237,0.023858214042263123
APS4,0.009164583806710596,0.10997500568052715,-0.14148299628872227,0.056767401348178446,0.1481860183291676,0.07876997652048777,0.1451564038476104,0.38673028857077935,0.2254033174278573,0.12550177989850791,0.16155419222903886,0.12622131333787776,0.19298644247519503,0.15439672801635992,0.1708702567598273,0.09194879951526168,0.14288419298644248,0.06994622434295236,0.14905703249261532,0.23290161326971143,0.12304021813224267,0.11895023858214042,0.08001969249413012,0.07661137620237825,0.04127849731121715,0.06119821252745588,0.04245247292282057
APS5,0.0014390668787396803,0.12220707414981444,-0.08032265394228584,0.017382413087934562,0.17473301522381277,0.0804741346663637,0.15905476028175414,0.2254033174278573,0.356585624479285,0.13311368628342043,0.11474664848897978,0.18760887677043095,0.14932212375975157,0.1889722032871317,0.1546239491024767,0.06657577823221995,0.12569113080360525,0.04669393319700068,0.1318639703097781,0.15742634249791715,0.10880103006892373,0.15121563281072484,0.10592289631144437,0.06513671135348027,0.008369310005301825,0.08460198439748542,0.0053396955237446034
APS6,0.008861622358554875,0.21127773990759677,0.03169734151329243,0.13595394985988032,0.21373930167386201,0.12713019768234493,0.17015072332045747,0.12550177989850791,0.13311368628342043,0.4061198212527456,0.1822313110656669,0.14000605922896311,0.14758009543285616,0.15587366507611905,0.1756797697492994,0.19359236537150648,0.19764447474058927,0.20241611754904187,0.16060743770355224,0.2436188744982201,0.17973187911838218,0.1637885329091873,0.1558357948950996,0.12300234795122321,0.06225857759600091,0.21135348026963569,0.021510262819056276
