Variable,Benevolencia,Universalismo,Poder,Logro,APS1,APS2,APS3,APS4,APS5,APS6,APS7,APS9,APS10,APS14,APS11,APS12,APS13,APS15,APS16,APS18,APS19,APS20,APS21,PP1,PP2,PP3,CSR1_bin
Benevolencia,0.5560133033944324,0.1894183522956811,0.06504194890970415,0.0803887672751529,0.06907947274965004,0.06060043780944954,0.059233457661195615,0.05109499337648794,0.04567874557258148,0.06393098394385517,0.04022491755841374,0.05582540234312611,0.05440674940576293,0.06947641372053477,0.1039351177669839,0.09671971739681884,0.06616935521754244,0.08114741776980242,0.12643626866092317,0.13212732175236522,0.10864203910220878,0.08253553678632831,0.0949182160674189,0.13487302586457972,0.08522721934629224,0.164396978551095,0.014538843844831312
Universalismo,0.1894183522956811,1.1208532586739823,-0.025084790349402006,0.2331523219872415,0.19847988049493137,0.2560504138520655,0.19328676518945123,0.24308759007506647,0.2512941684908727,0.2888367985418878,0.2388222362104116,0.2455350012683321,0.24559606911000667,0.3244886742641325,0.2719703304239987,0.2894263380903616,0.2271723710294159,0.23994024746568457,0.33421020490609643,0.4461569537481562,0.3343464331682936,0.28020979152378356,0.30390176533037705,0.2924867764635143,0.24827131032798128,0.19985155816946795,0.04064299739757044
Poder,0.06504194890970415,-0.025084790349402006,1.4125602457745752,0.6275260947585002,-0.06514529448792267,-0.035781057695017805,-0.07941637933464238,-0.0485677242364171,-0.03696248555510668,-0.06735078307763132,-0.050864814588637626,-0.021084846719717398,-0.04534522120651265,-0.0714117945489905,-0.08939157639586993,-0.06199795187854076,-0.016997998853803587,-0.05730982064844653,-0.0943427690977931,-0.09695459371095182,-0.07861779986659025,-0.13544612407106418,-0.10800317552776707,0.0216767350313325,-0.025491126372852058,0.01581422223057338,-0.008293482652035437
Logro,0.0803887672751529,0.2331523219872415,0.6275260947585002,1.3991863884478433,0.09784712370465713,0.14299035128101542,0.04049737408280799,0.05870968348067907,0.01633564764794859,0.10223931077894381,0.06370080515600485,0.035219703304239985,0.039055233514031513,0.030632568889222934,0.04496002405133457,0.03255385713883069,0.12400060128336418,0.10761093208316501,0.06860267383196009,0.1149390730841139,0.08388372682945161,0.09089478480632099,0.031799904170463834,0.10543597741429363,0.08797996974793074,0.05174325200349496,0.06685049652852808
APS1,0.06907947274965004,0.19847988049493137,-0.06514529448792267,0.09784712370465713,0.7626715771474741,0.36523501723992147,0.23956209659993047,0.23564670844333374,0.23447467563581018,0.27564849350332116,0.2500446264996853,0.23714521932750213,0.26946185138905854,0.2829202641888781,0.260555341557136,0.22808369112825186,0.30836206653576226,0.22229164122173264,0.26543372260167797,0.37040699367712965,0.29092250021138866,0.2718294046355189,0.24000836159678313,0.2277172840782044,0.20305292233110045,0.16835464444423567,0.07049107939758922
APS2,0.06060043780944954,0.2560504138520655,-0.035781057695017805,0.14299035128101542,0.36523501723992147,0.7379954715846635,0.2505284717067992,0.27514820695421793,0.2510076193876305,0.28500596585837895,0.28172004622365865,0.2597121355893986,0.30664042315316753,0.31978410169204896,0.2666715207771588,0.28618034742904386,0.3569720685087233,0.26781536842698633,0.29076043555463693,0.46842792585424514,0.3234787061133607,0.2660303084395757,0.2747841486673118,0.18944888621651837,0.182658611974934,0.1327426976953936,0.05289649470588788
APS3,0.059233457661195615,0.19328676518945123,-0.07941637933464238,0.04049737408280799,0.23956209659993047,0.2505284717067992,0.614427042719304,0.2138313963866628,0.22925807269891674,0.30136510113774084,0.2604285083475042,0.2422467328704704,0.2364969607004951,0.23459916008230067,0.2131455575493945,0.22674489613769389,0.22127697554467818,0.2273673183701463,0.24400830522646774,0.29664173846052666,0.2500587190785332,0.19385751463279438,0.17883482558084912,0.15968770845272878,0.1565098319225096,0.13436334426291116,0.04659476319770009
APS4,0.05109499337648794,0.24308759007506647,-0.0485677242364171,0.05870968348067907,0.23564670844333374,0.27514820695421793,0.2138313963866628,0.5493475135993386,0.3005477315645581,0.27124691137646917,0.25147267448961375,0.28438119486278524,0.28794661731132387,0.33023374890782514,0.2563017315081878,0.22614831029979612,0.27870893187647383,0.1638450192128825,0.24090793787991244,0.3154553312225782,0.22774312047275905,0.21576912597825984,0.25309801858341396,0.18184828869117522,0.16086913631281768,0.15693026052480763,0.03786206183823598
APS5,0.04567874557258148,0.2512941684908727,-0.03696248555510668,0.01633564764794859,0.23447467563581018,0.2510076193876305,0.22925807269891674,0.3005477315645581,0.5496340627025809,0.2510240607296198,0.2281658978381984,0.34628049868939015,0.32433600465994605,0.34368276665507946,0.23742002461503772,0.19555801914711712,0.23151288531459333,0.20512922894803595,0.24534475145388437,0.25614906190400133,0.19285224400830522,0.16581798025159952,0.19189864617292535,0.1806879996993583,0.15352455396987946,0.1409304860060692,0.03407585565441239
APS6,0.06393098394385517,0.2888367985418878,-0.06735078307763132,0.10223931077894381,0.27564849350332116,0.28500596585837895,0.30136510113774084,0.27124691137646917,0.2510240607296198,0.5994795140878814,0.3622567855767153,0.25341745037063484,0.29255254183147156,0.28745572581478596,0.2846513026240382,0.2725880551301684,0.2987979030242674,0.2705657700654835,0.33022670261840115,0.3569720685087233,0.31830672967615253,0.2768886404419433,0.2674912391134828,0.2034193293811479,0.17119899660838603,0.17556534728811807,0.05416717556534729
APS7,0.04022491755841374,0.2388222362104116,-0.050864814588637626,0.06370080515600485,0.2500446264996853,0.28172004622365865,0.2604285083475042,0.25147267448961375,0.2281658978381984,0.3622567855767153,0.6177622863799923,0.25811497665329436,0.28692725410798675,0.2879113858642039,0.2823589097981003,0.2468831913114554,0.2767641559954528,0.2615770535236145,0.30198752337019324,0.3216607634419715,0.29323133437931587,0.2718528922669322,0.2494010653989609,0.18804902338428583,0.232172887757307,0.162196187487669,0.05333336465017522
APS9,0.05582540234312611,0.2455350012683321,-0.021084846719717398,0.035219703304239985,0.23714521932750213,0.2597121355893986,0.2422467328704704,0.28438119486278524,0.34628049868939015,0.25341745037063484,0.25811497665329436,0.5156239724161257,0.36179642800101464,0.34607380753295314,0.22058409041798588,0.20875102171196647,0.23852864081774539,0.2275176392111914,0.272435385525982,0.2868920226608668,0.24818205732861076,0.22442901568034274,0.21296705155065343,0.18054707391087854,0.19003842576499216,0.18201270211106832,0.04846907618448125
APS10,0.05440674940576293,0.24559606911000667,-0.04534522120651265,0.039055233514031513,0.26946185138905854,0.30664042315316753,0.2364969607004951,0.28794661731132387,0.32433600465994605,0.29255254183147156,0.28692725410798675,0.36179642800101464,0.5513768449534475,0.3668227811234604,0.27551696276740667,0.2673174306410244,0.2790283636636947,0.2385944061857026,0.29650785896147086,0.33542686421330525,0.25646379616493953,0.24327079360009018,0.19932778398895143,0.21848429616963708,0.18166978269243417,0.1647046665226092,0.05602269844699781
APS14,0.06947641372053477,0.3244886742641325,-0.0714117945489905,0.030632568889222934,0.2829202641888781,0.31978410169204896,0.23459916008230067,0.33023374890782514,0.34368276665507946,0.28745572581478596,0.2879113858642039,0.34607380753295314,0.3668227811234604,0.6610124108644387,0.3445024849914035,0.3164559043207847,0.36869709411024154,0.29142043799735057,0.40486334896043746,0.4613346611674292,0.36290034667743964,0.3784444611467601,0.2885596444912109,0.2937692011386804,0.24452268435441896,0.2411874406937307,0.0562904574451094
APS11,0.1039351177669839,0.2719703304239987,-0.08939157639586993,0.04496002405133457,0.260555341557136,0.2666715207771588,0.2131455575493945,0.2563017315081878,0.23742002461503772,0.2846513026240382,0.2823589097981003,0.22058409041798588,0.27551696276740667,0.3445024849914035,0.9519255160232621,0.3251110964965849,0.3548863668392225,0.25926587059254597,0.3574441699001306,0.6186101898740124,0.4614638431402024,0.44752158513326884,0.3664892567573916,0.33186848805419067,0.30351891693834027,0.23499375229004407,0.07397899266246395
APS12,0.09671971739681884,0.2894263380903616,-0.06199795187854076,0.03255385713883069,0.22808369112825186,0.28618034742904386,0.22674489613769389,0.22614831029979612,0.19555801914711712,0.2725880551301684,0.2468831913114554,0.20875102171196647,0.2673174306410244,0.3164559043207847,0.3251110964965849,0.6019598079651256,0.35323753511400896,0.30258176044494967,0.34877958267176506,0.3796728642696756,0.30292937738986647,0.309421358712502,0.2845338644669717,0.25783782260261745,0.22366801642255188,0.2151185185881115,0.024445926774960307
