Variable,Benevolencia,Universalismo,Poder,Logro,APS1,APS2,APS3,APS4,APS5,APS6,APS7,APS9,APS10,APS14,APS11,APS12,APS13,APS15,APS16,APS18,APS19,APS20,APS21,PP1,PP2,PP3,CSR1_bin
Benevolencia,1,0.23994134206914264,0.07339178740162838,0.09114125234657677,0.10608100900362237,0.0946033078250386,0.10134196764216986,0.0924511194455435,0.08262943014032201,0.11073416212131358,0.0686344053751639,0.10426120024790272,0.09826207386231292,0.11460141881355468,0.14286249714165247,0.167181678031977,0.10906197388730925,0.12695626567017476,0.1972346336783551,0.15707610624433954,0.13608958961370005,0.10489588627950722,0.12942584013129915,0.204415569500955,0.13466507593163485,0.26838377510572664,0.04005140740952981
Universalismo,0.23994134206914264,1,-0.019935751270189803,0.18617766527038573,0.21467097538525043,0.2815297237959469,0.23291238227532587,0.3097881685540001,0.3201630520243907,0.3523635444549772,0.28700514707543184,0.32297765754531543,0.3124084484979421,0.3769817766382827,0.2632968512676835,0.35235458161595046,0.2637182430779131,0.2643934850326189,0.3671972549437547,0.3735711879215528,0.29497954584410796,0.2508239457895148,0.2918588455738476,0.3122218683951469,0.2762939717360346,0.22979373108132067,0.0788572905754454
Poder,0.07339178740162838,-0.019935751270189803,1,0.446365391304587,-0.06276402417962465,-0.03504473949359154,-0.08524549412796763,-0.05513414988959245,-0.041948927156361275,-0.07319004033077368,-0.05445067653934063,-0.024705884581529263,-0.051381144411664706,-0.07390292884184713,-0.07708885979863193,-0.06723417890053603,-0.01757734788166527,-0.05625324576377988,-0.0923334850791514,-0.07231443337049415,-0.06178555947515595,-0.10799985190447828,-0.09239469835580287,0.02061208101590859,-0.025269973628827505,0.016197551337890186,-0.01433388619364489
Logro,0.09114125234657677,0.18617766527038573,0.446365391304587,1,0.09471995807145496,0.1407155520430598,0.04367711225604338,0.06696507685316548,0.01862780794805907,0.11163309202233647,0.06851670037965943,0.041464970151935045,0.04446488680310893,0.03185230210985235,0.038957157848274714,0.03547161156242389,0.12883831834754594,0.10613060346948666,0.06746171161169529,0.08613704944327355,0.06623835204729757,0.07282177290334145,0.027333927759544917,0.10073549021147102,0.08763251482537418,0.05325016426085727,0.11609067937337605
APS1,0.10608100900362237,0.21467097538525043,-0.06276402417962465,0.09471995807145496,1,0.486829380069199,0.3499565798356874,0.36405668937303043,0.36215154568042307,0.4076614727950937,0.3642822826689935,0.3781630073198001,0.41553178209663844,0.3984652633684647,0.3057945324660866,0.3366213864052346,0.4339615073084104,0.2969452467862674,0.3535423266754698,0.37598496951708005,0.3111559556852487,0.2949767056850476,0.2794290847838853,0.29468543847334283,0.27394268991207366,0.2346720345108764,0.16580433502558806
APS2,0.0946033078250386,0.2815297237959469,-0.03504473949359154,0.1407155520430598,0.486829380069199,1,0.3720446635765745,0.4321318301459246,0.3941152469185705,0.4284892484105556,0.4172344950027201,0.4210162365071541,0.48070461887840216,0.4578521030321361,0.3181619978738175,0.42936754173351427,0.5107006723810567,0.3636894248060413,0.3936974128549814,0.48336590804916946,0.3517130124664736,0.2934704226211843,0.3252211974730908,0.24922790652169854,0.2505143205143435,0.18810000556771067,0.12648253064694667
APS3,0.10134196764216986,0.23291238227532587,-0.08524549412796763,0.04367711225604338,0.3499565798356874,0.3720446635765745,1,0.368055006336022,0.394505131197211,0.4965587328846701,0.4227101407637778,0.43038409884700873,0.4063180736685046,0.3681175179133607,0.2787017144580729,0.3728366625234493,0.34694458063950756,0.33838796215298556,0.36209584895475216,0.3354726993557617,0.2979726674231647,0.23437298295909076,0.23196953468442597,0.23023311493968335,0.2352478790109223,0.2086655052240829,0.12210471917461033
APS4,0.0924511194455435,0.3097881685540001,-0.05513414988959245,0.06696507685316548,0.36405668937303043,0.4321318301459246,0.368055006336022,1,0.5469568339669004,0.4726656551977962,0.43167462783376115,0.5343314572994601,0.5231956655410884,0.5480157828781965,0.35442673542975023,0.39326565337937563,0.4621536077141052,0.25788832916188964,0.3780781917485081,0.37728920244230457,0.287006196226763,0.27588353919924474,0.3471995714788152,0.2772790761790734,0.25572218173552014,0.2577437432609803,0.1049327802996236
APS5,0.08262943014032201,0.3201630520243907,-0.041948927156361275,0.01862780794805907,0.36215154568042307,0.3941152469185705,0.394505131197211,0.5469568339669004,1,0.4373119626568175,0.3915644168736479,0.6504660950586385,0.5891611222475168,0.5701854478459008,0.3282305812545125,0.3399813251032065,0.3837933010739151,0.32278456114915555,0.3849408939633815,0.30627816502003724,0.24297269140858732,0.2119604676773904,0.26317771256829103,0.2754380606589717,0.24398339883525327,0.23140521775348855,0.09441488126766598
APS6,0.11073416212131358,0.3523635444549772,-0.07319004033077368,0.11163309202233647,0.4076614727950937,0.4284892484105556,0.4965587328846701,0.4726656551977962,0.4373119626568175,1,0.5952763930688206,0.45580889247008105,0.5088531186035556,0.4566452911240517,0.3768118206490983,0.4537701255471914,0.47429594783546086,0.40766901605401545,0.4961112933672783,0.40870236337461363,0.3839973567156246,0.33890504473623523,0.35126623523109063,0.2969179863074476,0.2605153358379143,0.27603022793167764,0.1437075279406595
