Variable,Benevolencia,Universalismo,Poder,Logro,APS1,APS2,APS3,APS4,APS5,APS6,APS7,APS9,APS10,APS14,APS11,APS12,APS13,APS15,APS16,APS18,APS19,APS20,APS21,PP1,PP2,PP3,CSR1_bin
Benevolencia,0.609887368120901,0.14984317080125464,-0.026340176789278587,-0.007235528942115769,0.08622041631023666,0.0815868263473054,0.02773025377815797,0.10963786712289707,0.0766324493869404,0.10015682919874537,0.05399914456800684,0.08319076133447391,0.08087396635300827,0.06094952951240376,0.13833048189335614,0.10247362418021101,0.03913601368691189,0.03197177074422584,0.1146278870829769,0.12827915597376674,0.16206871970345024,0.0822284003421728,0.13259195893926431,0.057028799543769604,0.07884231536926148,0.13872255489021956,0.038209295694325636
Universalismo,0.14984317080125464,1.0567436555460508,-0.023809523809523808,0.2085828343313373,0.14955802680353578,0.2125748502994012,0.1354433989164528,0.18676931850584544,0.12546335899629313,0.15283718277730254,0.16381522668947818,0.13686911890504705,0.16837753065297975,0.2549187339606501,0.18577131451382947,0.20516110635871115,0.07014542343883662,0.13045337895637296,0.1847733105218135,0.2781579697747362,0.23538637011690905,0.20145423438836613,0.1727972626176219,0.12261191901910465,0.14570858283433133,0.05588822355289421,0.009694895922440832
Poder,-0.026340176789278587,-0.023809523809523808,1.5260550327915596,0.7068363273453094,-0.0709652124322783,-0.012724550898203593,-0.07706016538351868,0.025805531793555745,0.0017821499857428001,-0.1722982606216139,-0.0792343883661249,-0.05752780153977759,-0.037389506700883944,-0.031864841745081265,-0.23142999714856002,-0.10261619617907043,-0.005774165953806672,0.02149272882805817,-0.1847733105218135,-0.12471485600228115,-0.049009124607927,-0.236633875106929,-0.11890504704875962,-0.00285143997718848,-0.016966067864271458,-0.04091816367265469,-0.0037068719703450244
Logro,-0.007235528942115769,0.2085828343313373,0.7068363273453094,1.31561876247505,0.011726546906187624,0.14895209580838323,0.06636726546906188,0.06487025948103792,0.011477045908183632,-0.03343313373253493,-0.04416167664670659,-0.02844311377245509,-0.007734530938123752,0.04940119760479042,-0.10454091816367266,-0.09006986027944112,0.02245508982035928,0.035179640718562874,-0.09580838323353294,0.06462075848303393,0.0376746506986028,0.05763473053892216,-0.0718562874251497,0.03792415169660679,-0.0249500998003992,-0.012974051896207584,0.08582834331337326
APS1,0.08622041631023666,0.14955802680353578,-0.0709652124322783,0.011726546906187624,0.6158753920729969,0.29416167664670656,0.20280866837753064,0.24365554605075562,0.14791844881665242,0.17828628457370974,0.15109067579127458,0.18926432848588537,0.223018249215854,0.2713857998289136,0.23741802110065582,0.19842457941260336,0.22134302822925578,0.1880881094952951,0.23267750213858,0.24447533504419733,0.22864984317080125,0.24262189905902481,0.1727972626176219,0.24237239806102082,0.15469061876247506,0.15469061876247506,0.021670943826632448
APS2,0.0815868263473054,0.2125748502994012,-0.012724550898203593,0.14895209580838323,0.29416167664670656,0.750748502994012,0.22604790419161677,0.3023952095808383,0.15718562874251496,0.14820359281437126,0.19835329341317365,0.21706586826347304,0.23877245508982037,0.2470059880239521,0.17589820359281438,0.19835329341317365,0.21407185628742514,0.22979041916167664,0.20359281437125748,0.33907185628742514,0.2342814371257485,0.1504491017964072,0.19161676646706588,0.16167664670658682,0.218562874251497,0.10479041916167664,-0.005988023952095809
APS3,0.02773025377815797,0.1354433989164528,-0.07706016538351868,0.06636726546906188,0.20280866837753064,0.22604790419161677,0.48745366410037066,0.1739378386084973,0.1122041631023667,0.20287995437696035,0.1614627887082977,0.12104362703165099,0.12368120901055032,0.17151411462788707,0.21036498431708012,0.13437410892500712,0.1193327630453379,0.14563729683490162,0.17792985457656116,0.18256344453949244,0.18085258055317935,0.21278870829769034,0.09409751924721985,0.1234673510122612,0.10978043912175649,0.07385229540918163,0.01140575990875392
APS4,0.10963786712289707,0.18676931850584544,0.025805531793555745,0.06487025948103792,0.24365554605075562,0.3023952095808383,0.1739378386084973,0.5657256914741945,0.20587396635300828,0.2623324779013402,0.23738237810094098,0.29426860564585117,0.27872825777017396,0.3319076133447391,0.2114342743085258,0.19404049044767607,0.20530367835757057,0.21086398631308811,0.24037639007698888,0.2867122897063017,0.2037353863701169,0.1817792985457656,0.2703165098374679,0.13287710293698318,0.16367265469061876,0.13972055888223553,0.018249215854006275
APS5,0.0766324493869404,0.12546335899629313,0.0017821499857428001,0.011477045908183632,0.14791844881665242,0.15718562874251496,0.1122041631023667,0.20587396635300828,0.29583689763330484,0.1709438266324494,0.14649272882805817,0.1869118905047049,0.17058739663530081,0.15953806672369547,0.12753065297975477,0.12738808098089535,0.11334473909324208,0.14863130881094952,0.1420017108639863,0.1057171371542629,0.05610208155118335,0.04213002566295979,0.14798973481608213,0.11947533504419731,0.08782435129740519,0.07584830339321358,-0.016538351867693184
APS6,0.10015682919874537,0.15283718277730254,-0.1722982606216139,-0.03343313373253493,0.17828628457370974,0.14820359281437126,0.20287995437696035,0.2623324779013402,0.1709438266324494,0.47889934416880525,0.2897775876817793,0.1894781864841745,0.20437696036498432,0.22711719418306245,0.2827915597376675,0.15861134873110921,0.1424294268605646,0.11655260906757912,0.2523524379811805,0.21136298830909608,0.1822783005417736,0.2162104362703165,0.22241231822070145,0.21271742229826063,0.13572854291417166,0.21357285429141717,0.008269175933846592
