Variable,Benevolencia,Universalismo,Poder,Logro,APS1,APS2,APS3,APS4,APS5,APS6,APS7,APS9,APS10,APS14,APS11,APS12,APS13,APS15,APS16,APS18,APS19,APS20,APS21,PP1,PP2,PP3,CSR1_bin
Benevolencia,1,0.26002892356938345,0.14034370390999076,0.05091779166340618,0.03810886087385387,0.07443121296000346,0.144624554586727,0.02049415486537127,0.0033513549114553803,0.019337819647139144,0.04269569077398326,0.026516629537907718,0.03811675105358502,0.04287103951643389,0.0833181856065079,0.24237361904180074,0.20465100163416652,0.13739775634291293,0.1999305840976173,0.12483610624677614,0.04658985488486258,0.10815272125813842,0.082100392640226,0.26905084443605326,0.09786255503488259,0.20280859767991016,-0.15494165183230982
Universalismo,0.26002892356938345,1,0.006213805238262563,0.2584213207618472,0.22568480989269044,0.22710521596081656,0.2597603259914621,0.1899408217692147,0.21980767074088958,0.3560861338758137,0.22169484911714124,0.19479245035355175,0.24849594161630748,0.19200726591777853,0.1826844825803512,0.3050973223031879,0.22991489450954952,0.36033854010257715,0.37732325573935604,0.3354824309345314,0.24432351305021643,0.19398887704682533,0.26600182202473566,0.40317225001476736,0.2337223100184863,0.2803522293423507,-0.018633305549883922
Poder,0.14034370390999076,0.006213805238262563,1,0.4373569510931057,-0.032762290767325584,-0.023526612334579845,-0.09142802049344045,-0.18586190799780836,-0.10988701348575812,0.04063366371132955,-0.024540139572077853,-0.05386592269062401,-0.17062579998532149,-0.19194036857198107,-0.07625227819240919,-7.82317122267069e-4,-0.01852459098417951,-0.12893523393330975,-0.033303107965567715,-0.07706802667244392,-0.06389243500406817,-0.17183489286315612,-0.1831454855332765,0.024043287351801258,-0.008976294938000229,0.04117789409925387,0.011275147746956003
Logro,0.05091779166340618,0.2584213207618472,0.4373569510931057,1,0.12819874056729824,0.16948735353751807,0.05719164789196182,0.07536832156344037,0.02403377962111755,0.17614027087187648,0.11101477462297478,0.08448408673114192,0.06309774784223707,0.0515051519544765,-0.012002185569078503,0.055969987027628294,0.1324909255331596,0.19695291838867446,0.1514829353672451,0.09466652086645352,0.0607841780874811,0.10661938895390367,0.057572272491435574,0.23267455708965107,0.17310936155363246,0.050116175580810905,0.09829245758702428
APS1,0.03810886087385387,0.22568480989269044,-0.032762290767325584,0.12819874056729824,1,0.44464990680463046,0.260279609209291,0.2864269445145882,0.35172544726818755,0.4031512658140926,0.2968249629502762,0.3843850223937161,0.2846464832367831,0.3309491197625906,0.2544006993009364,0.25590197800239034,0.33039973157494856,0.2638257696348082,0.2694738388838062,0.3565671409548293,0.27462612208685017,0.2571894811453715,0.19476778070939818,0.1756488784876534,0.2812577686558788,0.27512511553638314,0.08378343071301166
APS2,0.07443121296000346,0.22710521596081656,-0.023526612334579845,0.16948735353751807,0.44464990680463046,1,0.2960812452237848,0.18417331818937818,0.19594964918419935,0.29006258925892825,0.24881671907613326,0.27036885659360205,0.3295296012977485,0.4160044941783869,0.24169838354334647,0.3625358834961198,0.39006673516901136,0.36499074420117,0.3537173293697514,0.4405170491533104,0.304897755639197,0.2030226121288915,0.24965924004661713,0.21430456607357887,0.28466911703038145,0.21973477981953646,0.12253755951989881
APS3,0.144624554586727,0.2597603259914621,-0.09142802049344045,0.05719164789196182,0.260279609209291,0.2960812452237848,1,0.38429023906842835,0.438522622705609,0.4395759803239061,0.3050964059186488,0.43733655635869917,0.27607330555760434,0.3988598951857672,0.16583948744965418,0.4028612348380779,0.3895882101410912,0.24282908451759933,0.48883355428414726,0.35590605275114795,0.252737977833313,0.27134533673959854,0.23263782792214727,0.25724462277900406,0.11199239992946233,0.38209880619061004,0.07997362292759207
APS4,0.02049415486537127,0.1899408217692147,-0.18586190799780836,0.07536832156344037,0.2864269445145882,0.18417331818937818,0.38429023906842835,1,0.606979878759891,0.31667858691581013,0.3787953596439836,0.39005593435588265,0.4904044057899416,0.3661341128283179,0.2979395442896942,0.19678119214479559,0.3105541784283568,0.1447662530625096,0.33552059674189555,0.40352197945335605,0.19980737264081688,0.1927417306416861,0.13920514805011094,0.15172810742346038,0.0875400119031239,0.1204984928573573,0.13898902019259218
APS5,0.0033513549114553803,0.21980767074088958,-0.10988701348575812,0.02403377962111755,0.35172544726818755,0.19594964918419935,0.438522622705609,0.606979878759891,1,0.34979508411829063,0.2801874028747298,0.6037675342115214,0.3951608392479178,0.46668324225040175,0.2807764096109292,0.14838020056482495,0.2844985139876077,0.1006434911164431,0.30911141324567787,0.28404966549990246,0.1840007536746855,0.2551698193570766,0.19189799803632793,0.13434477582527654,0.01848394021791389,0.1734784788882715,0.01820606846422954
APS6,0.019337819647139144,0.3560861338758137,0.04063366371132955,0.17614027087187648,0.4031512658140926,0.29006258925892825,0.4395759803239061,0.31667858691581013,0.34979508411829063,1,0.4169523424825699,0.4221998036696981,0.3659589308252278,0.360704739810743,0.2989237563801476,0.4042990775563513,0.4191938176920914,0.4088134242728894,0.3527843968417508,0.41189131184414507,0.28481740948158174,0.258982804826565,0.2645468772656825,0.23771860821515933,0.12884243293046233,0.4060965327178021,0.06872270047873207
